u,x,theta,xdot,thetadot
0.6467426991525095,1.0,0.0,0.032337134957625475,0.06467426991525095
0.21605325676722764,1.0016155313970727,0.0032628712135539533,0.043060133747264855,0.08803220466385782
-0.0575492589739466,1.0037627149481954,0.0077925904440384304,0.03991274815115313,0.0882155770095798
-0.22755620804056342,1.0057469458738229,0.012454311896980774,0.028040603125109018,0.07633531793387416
-0.3288625773982688,1.007132070822079,0.016642992369657716,0.010887054225392535,0.059078300849714216
-0.38439161664744476,1.0076547124629236,0.020074550961496386,-0.009228997221184358,0.040361492697472065
-0.409327975234974,1.0071677081867156,0.022654822729642258,-0.030738647366392955,0.022380225610092327
-0.4138273547644982,1.0056024115778064,0.02439784730311839,-0.05257882115691298,0.006271223284134882
-0.4047550760366071,1.0029432893850259,0.0253753934358897,-0.07403180461868616,-0.00746923180078355
-0.3868051583826332,0.9992105954828906,0.0256862126122727,-0.09461874805061009,-0.01872266635761702
-0.36322375006290797,0.9944484021636767,0.0254377094614263,-0.1140281425323273,-0.027584487835327815
-0.33627945968383055,0.9887162268226644,0.02473538578636984,-0.13206710775272806,-0.0342626046071075
-0.3075714138075219,0.9820831051769744,0.02367711323319135,-0.14862768515689276,-0.039015598284510414
-0.27823294968731893,0.9746233556148153,0.02235037001388581,-0.16366310842888857,-0.04211582592538518
-0.2490679018088426,0.9664135326681857,0.020831264271688354,-0.17717079699047106,-0.04382815974118136
-0.22064310351829652,0.9575302315779551,0.019184603580184274,-0.18917995243319466,-0.044398464223217894
-0.19335223110906521,0.9480485127155951,0.01746454766443007,-0.199742364788092,-0.044048069746355105
-0.16746070552455483,0.9380407847741725,0.01571555762150896,-0.20892550299241575,-0.042971875880697945
-0.14313791553563363,0.9275760322279121,0.013973466553546239,-0.2168072658306265,-0.04133859208282161
-0.12048082287340005,0.916719303930865,0.012266567070751428,-0.22347196582360374,-0.03929217968540298
-0.09953160077386886,0.9055314012111096,0.010616655515135177,-0.22900724709188477,-0.036953912711862824
-0.08029105418362478,0.8940687188277748,0.009040000511832498,-0.23350172337173566,-0.03442469957549288
-0.06272898893008104,0.8823832028818023,0.007548220635543656,-0.23704317956573454,-0.03178745002361491
-0.046792321701646725,0.8705223976165979,0.0061490664465519845,-0.23971721931453202,-0.029109361592046648
-0.032411478415022864,0.8585295589236599,0.004847108365600833,-0.24160626837532306,-0.026444056352671337
-0.01950546819020168,0.8464438168757653,0.003644335388794038,-0.24278886311157147,-0.023833533983448466
-0.007985913613669543,0.8343003731382123,0.0025406714930593104,-0.24333916772191638,-0.021309928892263772
0.0022397539185059004,0.8221307219185313,0.001534417387318107,-0.2433266746299351,-0.018897072213644787
0.011265774438887363,0.8099628853845802,0.0006226254306318555,-0.242816050801239,-0.016611867118294484
0.019186090700868023,0.7978216563331535,-0.0001985846752595937,-0.24186709935744105,-0.014465490040807678
